BRAND NAME,INDICATION,WOMEN,WHITE,BLACK OR AFRICAN AMERICAN,ASIAN,"ALL OTHER (Aggregated):
American Indian or Alaska Native (AI/AN), Native Hawaiian or Other Pacific Islander (NH/OPI), Unknown/Unreported",HISPANIC OR LATINO (2017 AND LATER ONLY),UNITED STATES (2017 ONLY),YEAR
VABOMERE,Treatment of complicated urinary tract infection,66%,93%,1%,2%,4%,8%,3%,2017
VERZENIO,Treatment of HR-positive; HER2-negative breast cancer,100%,61%,2%,27%,10%,12%,19%,2017
VOSEVI,Treatment of hepatitis C genotypes 1; 2; 3; 4; 5 or 6,23%,84%,12%,2%,2%,7%,57%,2017
VYZULTA,Treatment of glaucoma,58%,74%,24%,1%,1%,12%,91%,2017
XADAGO,Treatment of Parkinson's disease,33%,41%,<1%,59%,0%,2%,8%,2017
XEPI,Treatment of impetigo,44%,53%,34%,4%,9%,17%,23%,2017
XERMELO,Treatment of carcinoid syndrome diarrhea,50%,90%,1%,0%,9%,0%,32%,2017
ZEJULA,Treatment of ovarian cancer,100%,87%,1%,3%,9%,3%,70%,2017
AIMOVIG,Preventive treatment of migraine in adults,85%,91%,7%,1%,1%,7%,,2018
AKYNZEO,Prevention of the nausea and vomiting that happens right away or later in adults receiving certain anticancer medicines (chemotherapy),40%,100%,<1%,<1%,1%,NR,,2018
AZEDRA,Treatment of pheochromocytomas or paragangliomas,42%,75%,19%,6%,0%,1.10%,,2018
BIKTARVY,Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,13%,63%,29%,3%,4%,21%,65%,2018
BRAFTOVI,Treatment of melanoma (a type of skin cancer) when used with another drug binimetinib,41%,91%,0%,3%,6%,9%,,2018
CRYSVITA,For the treatment of X-linked hypophosphatemia,60%,83%,3%,11%,3%,8%,,2018
DOPTELET,Treatment of adults with low platelet count,34%,60%,2%,33%,5%,17.70%,,2018
EPIDIOLEX,Treatment of seizures in two rare and severe forms of epilepsy.,46%,86%,4%,2%,8%,2%,,2018
ERLEADA,Treatment of prostate cancer that has not spread to other parts of the body (non-metastatic),0%,66%,6%,12%,16%,1.20%,,2018
ILUMYA,For the treatment of moderate to severe plaque psoriasis,29%,80%,3%,14%,3%,9%,,2018
KRINTAFEL,Prevention of malaria relapse caused by the parasite; Plasmodium vivax,25%,2%,11%,19%,68%,70%,,2018
LOKELMA,Treatment of hyperkalemia in adults,41%,85%,12%,2%,1%,33%,,2018
LUCEMYRA,For the treatment of symptoms associated with opioid withdrawal during abrupt opioid discontinuation.,28%,67%,22%,<1%,11%,17%,,2018
LUTATHERA,For the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs),49%,83%,4%,<1%,13%,3%,,2018
MEKTOVI,Treatment of  melanoma (a type of skin cancer)  when used with another drug encorafenib.,41%,91%,0%,3%,6%,9%,,2018
MOXIDECTIN,Treatment of onchocerciasis in patients 12 years of age and older,36%,0%,100%,0%,0%,0%,,2018
MULPLETA,Treatment of adults with low platelet count,41%,50%,<1%,47%,3%,7.90%,,2018
OLUMIANT,Treatment of adult patients with rheumatoid arthritis (RA) whose disease was not well controlled using RA medications called Tumor Necrosis Factor (TNF) antagonists,80%,67%,3%,25%,5%,24.90%,,2018
OMEGAVEN,Parenteral nutrition-associated cholestasis (PNAC),42%,63%,12%,4%,21%,20%,,2018
ORILISSA,Treatment of moderate to severe pain associated with endometriosis,100%,88%,9%,1%,2%,14.70%,,2018
PALYNZIQ,Lowering the blood levels of phenylalanine in adults with phenylketonuria (PKU),50%,98%,1%,0%,1%,2.50%,,2018
POTELIGEO,Treatment of  adults with mycosis fungoides or Sézary syndrome,42%,70%,10%,5%,15%,4%,,2018
SYMDEKO,For the treatment of cystic fibrosis,50%,97%,1%,<1%,2%,2.90%,,2018
TAVALISSE,Treatment of  adults with low platelet count due to chronic immune thrombocytopenia (ITP),61%,93%,3%,3%,1%,3%,,2018
TIBSOVO,Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH1 and whose disease has come back or has not improved after previous treatment(s),50%,63%,6%,3%,28%,5%,,2018
TPOXX,Treatment of smallpox disease,59%,69%,28%,1%,2%,11%,,2018
TROGARZO,Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,15%,55%,32%,10%,3%,25%,,2018
ZEMDRI,Treatment of adults who have a complicated urinary tract infection,53%,100%,0%,0%,1%,1%,,2018
